Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,23,TOR,12,0,20.4,3,7.7,0.391,0.4,2.3,0.179,2.6,5.3,0.484,0.418,2.3,2.8,0.848,2,5,7,1.3,0.2,0.6,1.3,1.6,8.8
2,Steven Adams,C,29,MEM,15,15,26,2.9,4.7,0.629,0,0,0,2.9,4.7,0.629,0.629,0.6,2.3,0.257,4.9,5.8,10.7,2.4,0.7,1.1,2.3,2.7,6.5
3,Bam Adebayo,C,25,MIA,14,14,35,7.4,14,0.531,0,0.4,0,7.4,13.6,0.545,0.531,4.2,4.9,0.855,2.4,6.7,9.1,3.4,1.2,0.8,3.6,3.4,19.1
4,Ochai Agbaji,SG,22,UTA,6,0,11.2,1.3,3.2,0.421,0,1,0,1.3,2.2,0.615,0.421,0.7,1.2,0.571,0.7,1,1.7,0.2,0,0,0,1,3.3
5,Santi Aldama,PF,22,MEM,16,14,27.3,3.8,8.1,0.465,1.3,3.8,0.344,2.4,4.3,0.574,0.547,1.2,1.8,0.679,1.8,4.5,6.3,0.9,0.9,1.1,0.6,2.7,10
6,Nickeil Alexander-Walker,SG,24,UTA,9,0,7.8,1,3,0.333,0.4,1.4,0.308,0.6,1.6,0.357,0.407,0.4,0.6,0.8,0,0.7,0.7,1.1,0.6,0.3,0.6,1.2,2.9
7,Grayson Allen,SG,27,MIL,13,11,25.5,2.9,7,0.418,1.8,4.4,0.421,1.1,2.6,0.412,0.549,2.2,2.3,0.933,0.8,1.9,2.8,2.4,0.8,0.3,1.5,1.5,9.8
8,Jarrett Allen,C,24,CLE,13,13,33.5,5.9,10.4,0.57,0,0.2,0,5.9,10.2,0.579,0.57,2.6,3.4,0.773,3.3,8.2,11.5,1.2,0.4,1.5,1.5,2.3,14.5
9,Jose Alvarado,PG,24,NOP,16,2,19.4,3.3,6.9,0.477,1.3,3.5,0.357,2.1,3.4,0.6,0.568,0.6,0.8,0.75,0.5,1.9,2.4,2.9,0.8,0.3,1.3,2.3,8.4
10,Kyle Anderson,PF,29,MIN,12,2,19.6,2.3,4.3,0.519,0.5,1.2,0.429,1.8,3.2,0.553,0.577,1.3,1.5,0.833,0.5,2.7,3.2,2.8,1,0.6,0.9,1.2,6.3
11,Giannis Antetokounmpo,PF,28,MIL,12,12,32.6,10.6,20.9,0.506,0.8,3.3,0.225,9.8,17.6,0.559,0.524,7.6,12.9,0.587,1.7,10.3,12,5.3,1,1.2,3.8,3.1,29.5
12,Thanasis Antetokounmpo,SF,30,MIL,8,0,2.6,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0.3,0.6,0.9,0.3,0,0.1,0.3,0.3,0
13,Cole Anthony,PG,22,ORL,4,3,30.5,5.5,13.3,0.415,1.8,5,0.35,3.8,8.3,0.455,0.481,2.8,3.8,0.733,0.8,4,4.8,4.3,0.8,0.8,2,3.5,15.5
14,OG Anunoby,SF,25,TOR,17,17,36.3,7,14.8,0.474,1.6,4.9,0.333,5.4,9.8,0.545,0.53,3.1,3.7,0.841,1.4,4.8,6.2,2.1,2.5,0.9,2.5,3.3,18.8
15,Ryan Arcidiacono,PG,28,NYK,4,0,2,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.5,0,0,0.3,0
16,Deni Avdija,SF,22,WAS,16,13,22.4,2.4,6.3,0.39,0.9,2.6,0.341,1.6,3.7,0.424,0.46,1.2,1.5,0.792,0.8,3.6,4.3,2,0.6,0.6,1.4,3.1,6.9
17,Deandre Ayton,C,24,PHO,13,13,28.3,6.6,11.6,0.57,0.2,0.7,0.333,6.4,10.9,0.585,0.579,1.3,1.7,0.773,2.8,5,7.8,2.1,0.5,0.7,2.3,3.3,14.8
18,Udoka Azubuike,C,23,UTA,5,0,4,1,1.2,0.833,0,0,0,1,1.2,0.833,0.833,0,0,0,0.4,1.4,1.8,0.2,0.4,0.4,0.4,0.2,2
19,Marvin Bagley III,PF,23,DET,4,3,23,3.5,7.8,0.452,0.3,1.5,0.167,3.3,6.3,0.52,0.468,1.5,1.8,0.857,1.8,3.3,5,0.3,0.5,0.5,1,2.3,8.8
20,Patrick Baldwin Jr.,SF,20,GSW,2,0,2.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,LaMelo Ball,PG,21,CHO,3,3,32.7,7.3,17.7,0.415,3.3,10.7,0.313,4,7,0.571,0.509,1.3,1.7,0.8,0,3.7,3.7,7,1,0.3,3.7,2.7,19.3
22,Mo Bamba,C,24,ORL,16,2,17.7,3.1,6.4,0.476,1,2.9,0.34,2.1,3.5,0.589,0.553,1.1,1.6,0.654,1.4,3.4,4.8,1.1,0.3,0.8,0.8,2.3,8.2
23,Paolo Banchero,PF,20,ORL,11,11,34.6,8.1,17.5,0.461,1,3.9,0.256,7.1,13.6,0.52,0.49,6.4,8.3,0.769,0.8,7.5,8.3,3.6,0.7,0.9,3,2.4,23.5
24,Desmond Bane,SG,24,MEM,12,12,33.6,8.3,17.8,0.465,3.8,8.5,0.451,4.4,9.3,0.477,0.573,4.3,4.8,0.912,0.5,4.4,4.9,4.8,0.6,0.3,2.3,2.4,24.7
25,Dalano Banton,PG,23,TOR,15,2,11.2,2.3,5.5,0.427,0.8,2.5,0.324,1.5,3,0.511,0.5,0.9,1.1,0.875,0.5,0.9,1.3,1.1,0.6,0.7,0.7,1.1,6.4
26,Dominick Barlow,SF,19,SAS,2,0,8.5,1,2,0.5,0,1,0,1,1,1,0.5,2,2,1,0.5,0.5,1,1.5,0,0,0,1,4
27,Harrison Barnes,PF,30,SAC,14,14,30.9,3.6,8.1,0.439,0.9,3.4,0.255,2.7,4.8,0.567,0.491,3.6,4.4,0.836,1.1,4.4,5.5,2.1,0.9,0.2,1,1.4,11.6
28,Scottie Barnes,PF,21,TOR,16,16,33.5,6,13.7,0.438,1.4,3.9,0.355,4.6,9.8,0.471,0.489,1.3,1.7,0.741,1.9,4.8,6.8,5.2,0.9,0.8,2.3,1.6,14.6
29,RJ Barrett,SG,22,NYK,16,16,34.3,6.5,16.4,0.395,1.4,5.8,0.25,5.1,10.7,0.474,0.439,3.9,5.1,0.756,0.8,4.2,5,3,0.5,0.1,2.1,2.2,18.3
30,Will Barton,SG,32,WAS,16,0,22.4,3.1,8.1,0.38,1.3,3.7,0.339,1.8,4.4,0.414,0.457,0.9,0.9,0.933,0.4,2.8,3.2,2.3,0.5,0.3,1.1,1.2,8.3
31,Charles Bassey,C,22,SAS,8,0,17,2.5,4.1,0.606,0.3,0.8,0.333,2.3,3.4,0.667,0.636,0.9,1.3,0.7,2.4,4.5,6.9,1.6,0.5,1.4,2.1,2.8,6.1
32,Keita Bates-Diop,SF,27,SAS,16,5,16.4,3.2,6,0.531,0.4,1.4,0.318,2.8,4.6,0.595,0.568,1.1,1.4,0.818,1.4,1.6,3,0.7,0.6,0.1,0.9,0.6,7.9
33,Nicolas Batum,PF,34,LAC,17,1,17.9,1.6,3.6,0.443,1.1,2.7,0.413,0.5,0.9,0.533,0.598,0.5,0.8,0.615,0.8,3.2,3.9,1.2,0.4,0.8,0.9,2.3,4.8
34,Darius Bazley,PF,22,OKC,11,0,16.7,2.5,5.8,0.422,0.6,1.6,0.389,1.8,4.2,0.435,0.477,0.5,1,0.455,1.6,3.1,4.7,1.5,0.8,1.3,0.5,1.5,6
35,Bradley Beal,SG,29,WAS,11,11,36.5,8.4,16.4,0.511,1.8,4.8,0.377,6.5,11.5,0.567,0.567,3.8,4.1,0.933,0.7,2.9,3.6,5.9,0.9,0.7,2.9,1.9,22.4
36,Malik Beasley,SG,26,UTA,18,2,25.9,5,11.1,0.452,3.2,7.5,0.43,1.8,3.6,0.5,0.598,0.8,0.9,0.938,0.6,2.8,3.4,1.1,0.9,0.2,0.8,1.1,14.1
37,MarJon Beauchamp,SF,22,MIL,12,6,18.5,2.4,6.3,0.382,1,3.4,0.293,1.4,2.9,0.486,0.461,0.6,0.8,0.7,1.2,2.5,3.7,0.5,0.5,0.2,1.3,2,6.4
38,D?vis Bert?ns,PF,30,DAL,2,0,4,0.5,2.5,0.2,0.5,2,0.25,0,0.5,0,0.3,0,0,0,0,0.5,0.5,0,0,0,0,2,1.5
39,Patrick Beverley,PG,34,LAL,12,12,27.8,1.3,4.8,0.281,0.8,3.1,0.243,0.6,1.7,0.35,0.36,1.2,1.4,0.824,0.8,2.9,3.7,2.9,1,0.5,1.1,3.3,4.6
40,Saddiq Bey,SF,23,DET,17,16,31,4.6,11.2,0.408,1.6,5.5,0.29,3,5.8,0.52,0.479,3.9,4.3,0.918,1.2,3.6,4.8,1.6,0.8,0.2,1.4,1.8,14.7
41,Khem Birch,C,30,TOR,7,0,6.9,0.7,1.1,0.625,0.1,0.1,1,0.6,1,0.571,0.688,0.3,0.3,1,0.6,0.4,1,0.4,0.6,0.1,0.3,1.7,1.9
42,Goga Bitadze,C,23,IND,9,0,11.9,1.6,3,0.519,0.1,0.8,0.143,1.4,2.2,0.65,0.537,0.8,1.6,0.5,1.4,1.6,3,1.3,0.4,0.6,0.8,2.1,4
43,Bismack Biyombo,C,30,PHO,11,2,11.8,1.4,2.5,0.556,0,0,0,1.4,2.5,0.556,0.556,0.5,0.8,0.667,0.7,2.5,3.3,0.5,0.2,1.7,0.6,1.8,3.3
44,Buddy Boeheim,PG,23,DET,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
