Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
396,Jalen Smith,PF,22,IND,15,15,24.4,4.3,9.9,0.432,1.1,4.1,0.279,3.1,5.8,0.54,0.49,1.5,2.1,0.688,1.9,6.1,8.1,1.2,0.2,0.9,1.5,2.2,11.1
397,Jeremy Sochan,PF,19,SAS,16,16,24.8,3.3,6.8,0.477,0.4,2.3,0.167,2.9,4.6,0.63,0.505,0.6,0.8,0.692,1.1,2.9,4,1.9,0.8,0.6,1.6,2.6,7.4
398,Jaden Springer,PG,20,PHI,2,0,2,1,1.5,0.667,0,0,0,1,1.5,0.667,0.667,0.5,1,0.5,0.5,0.5,1,0,0,0.5,0,0.5,2.5
399,Lamar Stevens,PF,25,CLE,6,3,19.3,1.8,5,0.367,0.3,1.2,0.286,1.5,3.8,0.391,0.4,1.7,2,0.833,1,1.7,2.7,0.3,0,1,0.2,2,5.7
400,Isaiah Stewart,C,21,DET,15,15,27,3.8,8,0.475,1.2,3.6,0.333,2.6,4.4,0.591,0.55,3.2,4.3,0.738,2.9,6.5,9.3,1.3,0.5,0.7,1.1,3,12
401,Max Strus,SF,26,MIA,16,9,33.8,5.6,12.5,0.445,3,8.3,0.361,2.6,4.2,0.612,0.565,1.4,1.6,0.88,0.6,3.3,3.9,1.8,0.8,0.4,1.1,2.3,15.5
402,Jalen Suggs,PG,21,ORL,12,11,30.2,5,11.7,0.429,1.6,5.2,0.306,3.4,6.5,0.526,0.496,1.8,2.8,0.667,1.2,2.4,3.6,5.7,1.5,0.7,3.6,3.5,13.4
403,Edmond Sumner,SG,27,BRK,14,8,16.8,2.6,6,0.429,0.7,2.4,0.294,1.9,3.6,0.52,0.488,2.1,2.2,0.968,0.3,1.4,1.6,1.4,1,0.3,1.3,1.4,8
404,Cole Swider,SF,23,LAL,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
405,Jae'Sean Tate,SF,27,HOU,3,2,22.7,3.3,6.7,0.5,0.7,1.7,0.4,2.7,5,0.533,0.55,1,1.3,0.75,2.7,1.7,4.3,3.3,1,0,1.7,5,8.3
406,Jayson Tatum,PF,24,BOS,16,16,37.3,9.8,20.6,0.473,3.4,9.6,0.353,6.4,11.1,0.576,0.555,7.4,8.6,0.869,0.8,6.6,7.4,4.5,0.9,1.3,2.4,2.1,30.3
407,Terry Taylor,SG,23,IND,9,2,11.1,0.9,2.4,0.364,0.2,0.9,0.25,0.7,1.6,0.429,0.409,0.4,0.6,0.8,0.8,1.1,1.9,0.6,0.2,0.4,0.2,1,2.4
408,Garrett Temple,SG,36,NOP,2,0,10.5,1,2,0.5,1,2,0.5,0,0,0,0.75,0,0,0,0,0.5,0.5,0.5,0.5,0,0,1,3
409,Dalen Terry,SG,20,CHI,9,0,3.2,0.3,1.1,0.3,0.1,0.3,0.333,0.2,0.8,0.286,0.35,0.3,0.4,0.75,0,0.2,0.2,0.6,0.1,0.2,0.4,0.2,1.1
410,Cam Thomas,SG,21,BRK,11,0,18.4,2.6,6.8,0.387,0.5,1.5,0.353,2.1,5.3,0.397,0.427,2.9,3.5,0.842,0.1,1.5,1.6,2.1,0.7,0.2,1,0.9,8.7
411,Klay Thompson,SG,32,GSW,13,13,28.8,5.6,15.5,0.363,3.2,9.6,0.336,2.4,5.8,0.408,0.468,1,1.2,0.813,0.3,3.2,3.5,2.4,0.5,0.4,1.7,2,15.5
412,JT Thor,PF,20,CHO,14,0,10.4,0.9,2.7,0.316,0.3,1.4,0.2,0.6,1.3,0.444,0.368,0.5,0.6,0.778,0.6,1.5,2.1,0.6,0.2,0.4,0.6,0.6,2.5
413,Matisse Thybulle,SG,25,PHI,15,3,11.9,0.5,1.9,0.286,0.2,1.1,0.176,0.3,0.7,0.455,0.339,0.1,0.2,0.333,0.3,1.1,1.3,0.5,0.9,0.3,0.1,1.2,1.3
414,Xavier Tillman Sr.,PF,24,MEM,8,0,11.4,1.5,2.9,0.522,0.1,0.5,0.25,1.4,2.4,0.579,0.543,0.4,1.1,0.333,1.4,1.5,2.9,0.8,0,0.3,0.9,1,3.5
415,Isaiah Todd,PF,21,WAS,3,0,3,0.3,1,0.333,0,0.7,0,0.3,0.3,1,0.333,0,0,0,0,0,0,0,0,0,0,0,0.7
